"Crowdsourced data on dried cannabis prices, use, and consumption",,,,,,,,
"The application was launched January 25, 2018. Data are being collected continuously and will be made available as new information comes in.",,,,,,,,
Submission Date,Price,Quantity (grams),Quality,City (Census subdivision),Province,Primary Reason,Usage,Average Monthly Consumption (grams)
25/01/2018,15,1,Medium,Torbay,NL,Medicate with a medical document,A few times per week,2
25/01/2018,5.892857143,28,Medium,St. John's,NL,Medicate without a medical document,Daily,1
25/01/2018,6.428571429,14,High,St. John's,NL,Medicate without a medical document,Daily,1
25/01/2018,7.142857143,28,High,St. John's,NL,Medicate without a medical document,Daily,1
25/01/2018,10,12,Medium,St. John's,NL,Use recreationally,Daily,22
25/01/2018,10,1,Low,St. John's,NL,Use recreationally,A few times a year,5
25/01/2018,8.5,5,High,Charlottetown,PE,Medicate with a medical document,Daily,1
25/01/2018,9,1,High,Queens,NS,Use recreationally,Daily,1
25/01/2018,7.142857143,14,Medium,Middleton,NS,Medicate without a medical document,A few times per week,2
25/01/2018,8,1,Medium,Halifax,NS,Medicate with a medical document,,0
25/01/2018,10,0.0001,High,Halifax,NS,Medicate with a medical document,,0
25/01/2018,7.142857143,28,Medium,Halifax,NS,Use recreationally,,0
25/01/2018,3.535714286,28,Medium,Halifax,NS,Medicate without a medical document,Daily,1
25/01/2018,10,1,High,Halifax,NS,Use recreationally,A few times per month,3
25/01/2018,5.357142857,28,Medium,Saint John,NB,Use recreationally,,0
25/01/2018,6,1,High,Saint John,NB,Medicate with a medical document,Daily,1
25/01/2018,11.42857143,3.5,Medium,Gagetown,NB,Medicate without a medical document,Daily,1
25/01/2018,2.857142857,28,High,Moncton,NB,Use recreationally,Daily,1
25/01/2018,5,1,High,Moncton,NB,Use recreationally,A few times per week,2
25/01/2018,2.857142857,28,Medium,Richibucto,NB,Use recreationally,Daily,1
25/01/2018,10,1,Low,Fredericton,NB,Use recreationally,,0
25/01/2018,5.714285714,28,High,Fredericton,NB,Use recreationally,,0
25/01/2018,7.142857143,28,Medium,Fredericton,NB,Use recreationally,A few times a year,5
25/01/2018,3.928571429,28,High,Edmundston,NB,Medicate without a medical document,Daily,1
25/01/2018,10.71428571,7,Medium,Edmundston,NB,Use recreationally,A few times per month,3
25/01/2018,6,1,Medium,Edmundston,NB,Use recreationally,A few times per month,3
25/01/2018,6.428571429,7,High,Campbellton,NB,Use recreationally,Daily,1
25/01/2018,5.714285714,3.5,Low,Tracadie,NB,Medicate with a medical document,Daily,1
25/01/2018,5,28,Medium,Shippagan,NB,Use recreationally,Daily,1
25/01/2018,2.857142857,3.5,High,Shippagan,NB,Use recreationally,Daily,1
25/01/2018,8.571428571,3.5,High,Shippagan,NB,Use recreationally,A few times a year,5
25/01/2018,7.142857143,28,High,Grande-Rivière,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,28,Medium,Chandler,QC,Medicate without a medical document,Daily,1
25/01/2018,5.714285714,28,High,Chandler,QC,Use recreationally,Daily,1
25/01/2018,5,28,High,Chandler,QC,Use recreationally,Daily,1
25/01/2018,7.142857143,3.5,Medium,Chandler,QC,Use recreationally,A few times per week,2
25/01/2018,7.142857143,3.5,High,Port-Daniel--Gascons,QC,Use recreationally,A few times per week,2
25/01/2018,4.464285714,28,Medium,Gaspé,QC,Use recreationally,Daily,1
25/01/2018,6.071428571,28,,New Richmond,QC,Use recreationally,Daily,1
25/01/2018,4.285714286,7,Medium,Carleton-Sur-Mer,QC,Use recreationally,A few times per week,2
25/01/2018,6.071428571,28,High,Les Hauteurs,QC,Use recreationally,A few times per week,2
25/01/2018,5.714285714,7,Medium,Mont-Joli,QC,Use recreationally,Daily,1
25/01/2018,3.071428571,28,High,Rimouski,QC,Medicate without a medical document,,0
25/01/2018,3.928571429,28,High,Rimouski,QC,Use recreationally,,0
25/01/2018,5,1,High,Rimouski,QC,Use recreationally,,0
25/01/2018,6.428571429,7,High,Rimouski,QC,Medicate without a medical document,Daily,1
25/01/2018,4.464285714,28,Low,Rimouski,QC,Use recreationally,Daily,1
25/01/2018,3.571428571,28,Medium,Rimouski,QC,Use recreationally,Daily,1
25/01/2018,3.571428571,28,High,Rimouski,QC,Use recreationally,Daily,1
25/01/2018,6.428571429,7,High,Rimouski,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,3.5,High,Rimouski,QC,Use recreationally,Daily,1
25/01/2018,2.678571429,28,Medium,Rimouski,QC,Use recreationally,A few times per week,2
25/01/2018,3.714285714,3.5,High,Rimouski,QC,Use recreationally,A few times per week,2
25/01/2018,7.142857143,7,High,Rimouski,QC,Medicate without a medical document,A few times per month,3
25/01/2018,7.142857143,14,High,Rimouski,QC,Use recreationally,A few times per month,3
25/01/2018,7.142857143,3.5,High,Rimouski,QC,Medicate without a medical document,A few times a year,5
25/01/2018,5.714285714,3.5,Medium,Rimouski,QC,Use recreationally,A few times a year,5
25/01/2018,10,1,Medium,Rimouski,QC,Use recreationally,A few times a year,5
25/01/2018,3.571428571,14,Medium,Rivière-Du-Loup,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,3.5,Medium,Rivière-Du-Loup,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,14,Medium,Rivière-Du-Loup,QC,Use recreationally,Daily,1
25/01/2018,4.285714286,28,High,La Pocatière,QC,Use recreationally,Daily,16
25/01/2018,5,28,High,La Pocatière,QC,Use recreationally,A few times per month,3
25/01/2018,5,7,Medium,La Malbaie,QC,Use recreationally,A few times per month,3
25/01/2018,4.285714286,28,Medium,Baie-Sainte-Catherine,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,High,Baie-Saint-Paul,QC,Use recreationally,,0
25/01/2018,4.285714286,7,High,Baie-Saint-Paul,QC,Use recreationally,,0
25/01/2018,5.714285714,3.5,High,Baie-Saint-Paul,QC,Use recreationally,Daily,1
25/01/2018,3.571428571,28,High,Cap-Saint-Ignace,QC,Use recreationally,Daily,1
25/01/2018,3.571428571,28,Medium,Montmagny,QC,Use recreationally,Daily,1
25/01/2018,5.714285714,28,High,Saint-Léon-De-Standon,QC,Use recreationally,A few times per week,2
25/01/2018,4.107142857,28,High,Sainte-Anne-De-Beaupré,QC,Use recreationally,Daily,1
